Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Mature,Language
iklooode25,140170155,21360,42463,7265,418710,FALSE,Arabic
聶寶 (nielnieh345),140168070,186015,5455,728,93991,FALSE,Chinese
akagreenn,140084580,51600,21136,2902,117916,TRUE,Turkish
Spraggy,139893270,81585,30415,1674,99807,FALSE,English
TpaBoMaH,139724325,92445,6813,1531,151266,FALSE,Russian
Day9tv,139556325,64500,5597,2140,496790,FALSE,English
Sologesang,139273200,123390,5120,1072,58531,FALSE,German
karavay46,139258050,33045,48331,4037,354734,FALSE,Russian
RaulZitoYT,139249440,131460,6545,839,78971,FALSE,Portuguese
JonBams,139067415,88830,5577,1522,309837,TRUE,English
Japan_ASMR,138935670,509670,496,271,67707,FALSE,Japanese
OuterHeaven,137995935,94575,6955,1101,137954,TRUE,English
Yamikazexz,137528370,74490,12411,1643,201657,FALSE,English
aircool,137305080,128055,12620,964,153703,FALSE,English
Lapi,137258130,171570,8684,789,130323,FALSE,French
robn_live,137249820,133545,73664,656,66223,FALSE,English
과로사1 (aram4519),136944300,81570,14167,1592,301329,FALSE,Korean
Ezekiel_III,136597425,109890,18804,1190,190452,TRUE,English
RebeuDeter,135843000,18510,24675,7141,215360,FALSE,French
nookyyy,135590925,149220,7393,683,206681,FALSE,German
BrookeAB,135540690,48705,24357,2777,737161,FALSE,English
innocents,135250410,83790,13654,1557,534759,TRUE,English
RealKraftyy,135181170,108585,19953,1235,710277,FALSE,English
rhobalas_lol,135169095,174210,5224,779,100599,FALSE,French
veloxey,135057600,88620,8596,1273,252913,FALSE,Italian
ArQuel,134912310,116415,9110,1122,285920,FALSE,Polish
ElOjoNinja,134761230,82020,9339,1484,273504,FALSE,Spanish
Bamboe,134431230,118920,5956,1075,86644,FALSE,English
Sonecarox,133976280,239655,2445,569,87530,TRUE,Portuguese
MuTeX,133816530,150015,9448,824,200619,TRUE,English
RayNarvaezJr,133649520,82605,6611,1589,528396,TRUE,English
Tanovich,133079115,89865,10352,1434,296560,TRUE,Spanish
Zalae,133078635,95010,5934,1351,170668,FALSE,English
KheZu,132976365,124635,5322,991,122158,FALSE,English
mandiocaa1,132533775,29685,9540,4355,312944,TRUE,Portuguese
스피드소닉 (dragon3652),132487740,243375,2379,529,35503,FALSE,Korean
RiotGamesOCE,132387150,40890,50458,3076,149775,FALSE,English
Videoyun,132320235,123345,8057,1030,375697,FALSE,Turkish
AlcastHQ,132082785,28905,12999,4680,81928,FALSE,English
julien,132054690,80895,15150,1685,511861,FALSE,English
iGeStarK,131957700,79455,12893,1282,244437,FALSE,Spanish
Ziqoftw,131821710,94515,10569,1293,198304,FALSE,English
CyrusTWO,131621775,128085,2727,1027,96691,TRUE,Swedish
칸데르니아 (jmjdoc),131408250,170865,2395,756,30877,FALSE,Korean
CouRageJD,131341275,14010,72100,8717,2115596,FALSE,English
YoMax,131072925,58380,16952,2051,273980,FALSE,French
JeffHoogland,130973670,113655,3375,1070,68914,FALSE,English
Call of Duty (callofduty),130938960,3645,170131,19897,968465,TRUE,English
GoBGG,130398315,92730,4198,1400,229586,FALSE,French
Wackyjacky101,130390590,130335,5981,1012,209700,FALSE,English
TaKeTV,130220190,108555,31809,829,227062,FALSE,German
iceiceice,130179570,37545,8409,3107,183960,FALSE,English
StarCraft,130159470,14850,56109,6636,342409,FALSE,English
MadDecentLive,129993915,42510,36968,3069,95371,FALSE,English
WillerZ,129956310,133770,24663,872,79392,TRUE,English
SoyPan,129903855,132840,13884,954,343191,FALSE,Spanish
murilo_RT,129898080,383955,8185,315,70814,TRUE,Portuguese
Multiplayerit,129567630,111795,15237,1053,58786,FALSE,Italian
Markstrom,129129615,106620,71423,915,93045,FALSE,English
Krayn_Live,129103425,137040,4183,918,125775,TRUE,French
西門夜說 (westdoor),128928105,109065,5363,1165,272662,TRUE,Chinese
Sintica,128908575,94845,8467,1207,160387,FALSE,German
FantaBobShow,128845890,65565,8248,1936,348598,TRUE,French
ops1x,128783415,68235,23490,1457,268942,FALSE,English
wingz,128746905,92715,3940,1347,85695,FALSE,Spanish
ZLOYn,128586435,49230,14155,2603,294277,FALSE,Russian
HunterGodBr,128369655,89520,51612,1737,258876,FALSE,Portuguese
leplol1,128314530,125385,9307,1444,157981,FALSE,Portuguese
sacy,128171445,96630,10692,1304,206184,FALSE,Portuguese
헤징 (hejin0_0),127710465,125865,3032,1017,123451,FALSE,Korean
Naru,127650015,39825,13744,3045,344859,FALSE,Turkish
Warcraft,127646610,10005,51972,13741,593564,FALSE,English
FlexZ,127550640,114750,14278,897,155382,FALSE,Spanish
DizzyKitten,127398990,80100,10080,1584,613135,FALSE,English
지수소녀 (wltn4765),127291245,134070,9379,980,99600,FALSE,Korean
Staryuuki,127219620,77040,5530,1467,586475,FALSE,Spanish
CeMka,127117680,110550,18473,979,86502,FALSE,Russian
Halifax,126885855,160500,12478,793,228316,FALSE,English
Bidule,126808620,61395,10100,2052,82570,TRUE,French
Gabi,126779310,63480,17866,2174,271202,FALSE,Portuguese
Hype,126704460,81510,10030,1674,145476,TRUE,Turkish
Gigz,126436725,98685,15061,1136,254401,FALSE,English
매직박 (yagubu),126240810,66165,25478,1666,59697,FALSE,Korean
richwcampbell,126132675,69870,34756,1878,108410,FALSE,English
ESL_CSGO_FR,126026325,53295,22857,2570,193614,FALSE,French
양아지 (dkwl025),125872350,103365,6861,1237,220819,FALSE,Korean
Cizzorz,125812350,56970,11782,1891,1866339,FALSE,English
RyuQuezacotl,125680845,125820,4022,976,79063,TRUE,English
Sigma,125477415,94695,81683,798,61206,TRUE,English
Robbaz,125249820,86415,4938,1427,229652,FALSE,English
mailand,124936395,86865,6867,1400,86561,TRUE,German
Buozzi,124926540,142785,4036,872,75290,TRUE,Portuguese
HeyarTV,124878165,155700,2343,786,124479,TRUE,French
LenaGol0vach,124876665,30210,9115,4159,274237,FALSE,Russian
Sinner666,124812240,24765,27996,4530,7102,FALSE,Russian
TommyKayLIVE,124680810,108105,3536,1124,127770,TRUE,English
TMemoryy,124620795,130440,3244,924,171107,FALSE,English
Patriota,124595820,64305,29435,1951,646758,FALSE,Portuguese
러너교 (runner0608),124525605,52785,17926,2434,164902,FALSE,Korean
zorlaKOKA,124241010,100050,4977,1247,361102,FALSE,Portuguese
Hitch,124224555,132870,3976,875,96343,TRUE,English
calango,124180125,70155,8380,1736,767187,FALSE,Portuguese
Adin2Huncho,124133550,64920,14502,1470,199880,FALSE,English
SlotRoom247,124078200,373800,20609,326,69183,TRUE,German
ALLinPav,124058985,137760,6221,850,71579,TRUE,English
Surefour,124056555,53145,7911,2289,331662,TRUE,English
NumotTheNummy,123899265,105930,3359,1118,103069,FALSE,English
aminematue,123826230,30480,16577,4016,124232,FALSE,French
CallMeCarsonLIVE,123486240,14340,61531,8208,1151712,TRUE,English
ZiggyDLive,123398085,99075,18437,1227,173807,FALSE,English
KEEMSTAR,123365895,3465,74195,35333,146035,FALSE,English
크캣66 (crazzyccat),123279435,192780,2543,644,35930,FALSE,Korean
RelaxBeats,123273930,521430,2830,235,166162,FALSE,English
LAGTVMaximusBlack,123125340,161535,7138,725,256353,TRUE,English
Destructoid,122628630,103020,14566,1190,48007,FALSE,English
LITkillah,122524635,13560,21359,9104,601927,FALSE,Spanish
빅헤드 (bighead033),122523705,153000,3940,793,213212,FALSE,Korean
마스카 (newmasca),122452320,217410,6431,567,109068,FALSE,Korean
AndyMilonakis,122311065,104745,10543,1153,547446,FALSE,English
Remx,122192850,99180,13788,1205,178553,FALSE,French
