Channel,Watch time(Minutes),Stream time(minutes),Peak viewers,Average viewers,Followers,Mature,Language
RatedEpicz,582401145,175920,11860,3336,134757,TRUE,English
wtcN,582125625,77385,73861,7438,1852272,TRUE,Turkish
Anton,581034300,142890,137531,3199,207484,TRUE,English
benjyfishy,580787955,34350,75491,14423,1739112,FALSE,English
StarLadder5,580541850,41715,189859,13089,1029203,FALSE,Russian
Reborn_Live,578122875,32100,57849,17488,697007,TRUE,Spanish
CasinoDaddy,577240710,267465,6524,2168,151098,TRUE,English
H2P_Gucio,575998575,157995,10011,3581,220488,FALSE,Polish
Xayoo_,575138175,91260,23935,6091,572789,FALSE,Polish
Jinnytty,569601090,151815,15190,3607,372334,FALSE,English
KendineMuzisyen,567374295,58545,43422,9583,1372290,TRUE,Turkish
Jahrein,566176425,61890,43683,8929,1422862,FALSE,Turkish
Mathil1,561997440,134715,25866,3953,293595,FALSE,English
Greekgodx,561616335,89745,45741,7083,1278824,TRUE,English
Brunenger,559915035,183225,64308,2844,659652,FALSE,Spanish
ClassyBeef,558883590,273660,33624,1941,108623,TRUE,English
Diegosaurs,558587535,128580,32463,4150,521201,TRUE,English
BobRoss,558170835,238035,11659,2175,1519266,FALSE,English
Nick28T,556741020,183660,15155,3024,977377,TRUE,English
녹두로 (nokduro),555637890,140670,15858,4040,165823,FALSE,Korean
GMHikaru,554249955,68355,46106,7155,505361,FALSE,English
SkipNhO,553663800,131580,23408,3875,1076499,FALSE,Portuguese
jovirone,553283745,96450,29272,5632,1089830,FALSE,Portuguese
Chap,550951215,157545,22571,3430,1272899,FALSE,English
김도 (kimdoe),549244755,134985,11759,4062,287639,TRUE,Korean
RebirthzTV,548041425,118920,14578,4629,276694,FALSE,Thai
Klean,545108145,169605,101124,2801,276242,FALSE,English
接接 (godjj),544706325,126705,12461,4378,331744,FALSE,Chinese
Gladd,543954570,171195,54477,2779,337972,FALSE,English
CSRuHub,540556545,110880,106003,5044,511431,FALSE,Russian
CriticalRole,539495145,21300,110800,17689,571210,FALSE,English
Vinesauce,536989080,86790,19065,6125,442493,TRUE,English
울프 (lol_woolf),532969650,50910,73800,9633,308528,FALSE,Korean
Mithrain,530456265,105540,40183,4990,1258713,FALSE,Turkish
EWROON,526660590,101235,21341,5172,514693,FALSE,Polish
ludwig,525883695,94575,60346,5368,542580,FALSE,English
RduLIVE,525737445,127380,11854,3953,234884,FALSE,English
Hiko,523057245,79665,41644,5268,1001350,FALSE,English
FENGRUSH,521568750,100605,16128,4985,95643,FALSE,English
Chess,521511525,96315,83666,5767,326118,FALSE,English
72hrs,519458565,136515,30702,3756,1024814,FALSE,English
TwitchRivals,516113670,36555,109148,14509,999480,FALSE,English
狂暴小建 (a541021),516009420,166575,8337,3105,207369,FALSE,Chinese
hashinshin,515812965,192255,12540,2483,570621,FALSE,English
JoshOG,510984165,159300,85051,2957,1748928,FALSE,English
B0aty,510323715,151215,22375,3152,516113,TRUE,English
AustinShow,509643945,21000,72199,24739,840624,TRUE,English
39daph,509052375,135495,12648,3766,505362,FALSE,English
scump,506838930,71355,79976,6789,893010,FALSE,English
플러리 (flurry1989),505333050,128790,12084,3859,169505,FALSE,Korean
Kyle,501208575,161295,9339,3059,182260,TRUE,English
SummonersInnLive,499421415,64875,110095,6328,503346,FALSE,German
Aydan,495563580,140595,51268,3507,1701314,TRUE,English
Faker,492835710,17115,56325,29414,2716270,FALSE,Korean
Mongraal,492733995,27060,89706,18180,2951980,FALSE,English
탬탬버린 (2chamcham2),490230510,95055,16243,5107,489270,FALSE,Korean
EmadGG,487281450,132630,67732,2741,702744,FALSE,English
쌍베 (pacific8815),483895050,120435,20936,3992,171858,FALSE,Korean
FolagorLives,482387190,79995,57813,5032,786983,FALSE,Spanish
lilypichu,477949200,56280,33075,8407,1363222,FALSE,English
mistermv,476597370,71655,39961,6627,479900,TRUE,French
Bonjwa,473157810,251250,11063,1802,123954,FALSE,German
KingGeorge,472786395,160140,12621,2914,767727,FALSE,English
KingRichard,472405995,137175,17327,3312,1536757,FALSE,English
melharucos,468792120,130275,13825,3519,328473,TRUE,Russian
INSCOPE21TV,468467130,59925,51244,7554,658658,TRUE,German
